Edad,Edad Victima,Sexo,Año agresión,Lugar de residencia,Composicion del hogar,Grado de consanguinidad de persona a cargo,Numero de personas con quienes vive,Profesion persona a cargo,Nivel escolar,Rendimiento academico promedio,Antecedentes de maltrato familiar o escolar,Participa en actividades extracurriculares,Usa redes sociales activamente,Contacto de forma inapropiada en redes,Involucrado en otros incidentes de agresion,Conocia a la victima,Antecedentes penales o disciplinarios,Trastorno psicologico o adiccion,Atencion psicologica previa,Se siente arrepentido,Reconoce que su comportamiento fue incorrecto,Premeditado o impulsivo,Violencia fisica o amenazas,Actuo solo o con otras personas,Edad inicio consumo pornografico,Contenido violento o explicito en material
16,10,Femenino,2024,La Candelaria,Extendida,Tios,1,Agricultor,Tecnico,7,No,Si,No,No,No,Si,Si,Si,Si,Si,No,Premeditado,No,Con otras personas,7,Si
17,8,Masculino,2015,Usaquen,Nuclear,Tios,7,Obrero,Tecnico,5,Si,Si,Si,Si,No,Si,No,No,Si,Si,Si,Premeditado,Si,Solo,8,Si
15,13,Masculino,2019,Santa Fe,Nuclear,Tios,6,Empleado,Secundaria,1,Si,Si,No,No,No,Si,Si,No,No,No,No,Impulsivo,Si,Solo,13,No
16,9,Femenino,2019,Antonio Narino,Monoparental,Abuelos,3,Empleado,Universitario,1,No,Si,No,No,Si,Si,No,Si,No,No,No,Premeditado,Si,Solo,13,Si
17,11,Masculino,2016,Barrios Unidos,Monoparental,Hermanos,3,Obrero,Primaria,9,No,Si,Si,Si,Si,No,No,Si,No,No,Si,Premeditado,No,Con otras personas,11,Si
17,11,Femenino,2017,Kennedy,Extendida,Hermanos,2,Agricultor,Secundaria,3,No,No,No,Si,Si,Si,Si,Si,Si,No,No,Premeditado,No,Solo,7,No
17,9,Femenino,2024,Bosa,Nuclear,Otros familiares,1,Ambulante,Secundaria,7,No,Si,Si,Si,Si,Si,No,Si,No,No,Si,Premeditado,No,Con otras personas,12,No
14,7,Femenino,2020,Chapinero,Extendida,Otros familiares,1,Empleado,Primaria,4,No,No,No,Si,No,No,No,Si,No,Si,Si,Impulsivo,Si,Solo,9,No
16,12,Masculino,2022,La Candelaria,Nuclear,Otros familiares,7,Obrero,Secundaria,3,Si,Si,No,No,No,Si,No,Si,No,Si,No,Impulsivo,Si,Con otras personas,9,No
17,9,Masculino,2017,Engativa,Extendida,Tios,6,Obrero,Universitario,7,Si,No,Si,No,Si,No,Si,Si,Si,No,No,Premeditado,Si,Solo,10,Si
15,10,Femenino,2021,Chapinero,Nuclear,Abuelos,7,Agricultor,Universitario,6,No,No,Si,Si,No,No,No,No,No,No,Si,Premeditado,Si,Solo,10,Si
17,12,Masculino,2018,La Candelaria,Monoparental,Hermanos,2,Independiente,Primaria,8,Si,No,No,Si,No,No,Si,No,Si,Si,Si,Impulsivo,No,Solo,11,No
17,10,Masculino,2023,La Candelaria,Extendida,Tios,6,Profesional,Universitario,9,Si,Si,No,Si,No,No,No,Si,Si,No,Si,Impulsivo,No,Solo,13,Si
13,12,Femenino,2017,Puente Aranda,Nuclear,Tios,7,Obrero,Secundaria,6,No,Si,Si,Si,No,No,Si,No,No,Si,No,Premeditado,No,Solo,9,Si
15,7,Femenino,2023,Kennedy,Nuclear,Padres,7,Ambulante,Universitario,2,No,No,No,No,No,Si,No,No,Si,No,No,Premeditado,Si,Solo,12,Si
14,11,Femenino,2018,Sumapaz,Extendida,Padres,5,Independiente,Primaria,8,Si,No,Si,Si,Si,No,No,Si,Si,No,Si,Impulsivo,Si,Solo,14,Si
17,12,Femenino,2017,Barrios Unidos,Monoparental,Tios,7,Obrero,Tecnico,2,No,Si,Si,Si,No,Si,No,No,Si,Si,No,Premeditado,No,Con otras personas,10,No
14,7,Femenino,2020,Sumapaz,Extendida,Padres,4,Independiente,Secundaria,5,Si,Si,Si,Si,No,Si,Si,Si,No,No,No,Impulsivo,No,Solo,6,Si
13,10,Masculino,2024,Santa Fe,Monoparental,Padres,7,Ambulante,Tecnico,5,No,No,Si,No,Si,Si,No,Si,No,No,No,Premeditado,Si,Solo,8,No
15,10,Femenino,2020,Antonio Narino,Extendida,Hermanos,1,Profesional,Secundaria,7,No,Si,No,Si,No,No,Si,Si,Si,Si,No,Impulsivo,No,Solo,14,No
13,8,Masculino,2015,Teusaquillo,Nuclear,Tios,5,Desempleado,Tecnico,3,No,No,No,No,No,Si,No,No,Si,Si,Si,Impulsivo,Si,Solo,10,Si
16,13,Femenino,2024,Bosa,Extendida,Abuelos,3,Desempleado,Secundaria,5,Si,No,Si,Si,Si,No,No,No,No,No,Si,Impulsivo,No,Con otras personas,10,No
15,10,Femenino,2019,Chapinero,Extendida,Abuelos,4,Empleado,Universitario,2,No,No,No,Si,Si,Si,Si,No,No,Si,No,Impulsivo,Si,Con otras personas,14,No
14,9,Femenino,2022,Kennedy,Monoparental,Tios,1,Obrero,Universitario,6,Si,Si,Si,Si,No,Si,Si,Si,Si,No,No,Impulsivo,Si,Solo,9,Si
14,9,Femenino,2017,San Cristobal,Monoparental,Hermanos,4,Ambulante,Secundaria,1,No,No,Si,No,Si,No,No,No,No,No,No,Premeditado,Si,Solo,11,No
17,11,Masculino,2024,Santa Fe,Extendida,Otros familiares,3,Desempleado,Primaria,5,No,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Impulsivo,No,Con otras personas,9,No
14,13,Femenino,2024,Los Martires,Nuclear,Otros familiares,3,Ambulante,Primaria,9,Si,Si,No,No,No,No,No,No,No,Si,No,Premeditado,Si,Solo,9,No
16,7,Femenino,2019,Kennedy,Monoparental,Tios,5,Agricultor,Universitario,8,No,No,No,Si,No,No,No,Si,Si,Si,No,Premeditado,Si,Con otras personas,14,Si
17,8,Femenino,2022,Antonio Narino,Monoparental,Padres,1,Independiente,Tecnico,8,No,Si,No,No,Si,No,Si,Si,No,Si,Si,Premeditado,Si,Con otras personas,10,Si
13,13,Masculino,2024,Antonio Narino,Monoparental,Tios,2,Obrero,Tecnico,8,No,Si,No,Si,No,No,Si,No,No,Si,No,Premeditado,No,Solo,14,No
15,13,Masculino,2017,Suba,Extendida,Abuelos,5,Desempleado,Secundaria,8,Si,Si,No,Si,Si,Si,No,Si,No,Si,No,Premeditado,Si,Solo,13,Si
16,11,Masculino,2017,Sumapaz,Extendida,Tios,5,Profesional,Primaria,4,Si,No,No,No,No,No,No,No,Si,Si,No,Impulsivo,No,Solo,8,Si
16,9,Femenino,2024,Tunjuelito,Monoparental,Hermanos,2,Obrero,Primaria,4,Si,Si,No,No,No,No,Si,No,Si,No,Si,Impulsivo,Si,Con otras personas,11,Si
14,7,Masculino,2024,Kennedy,Monoparental,Otros familiares,6,Independiente,Universitario,9,No,Si,Si,No,Si,No,No,No,No,Si,Si,Premeditado,Si,Solo,7,Si
14,11,Masculino,2017,Usaquen,Extendida,Tios,2,Desempleado,Tecnico,8,Si,Si,No,Si,Si,No,No,No,No,No,Si,Impulsivo,Si,Con otras personas,10,Si
15,8,Femenino,2021,Antonio Narino,Extendida,Padres,2,Independiente,Universitario,7,No,No,No,No,No,No,Si,No,Si,No,Si,Impulsivo,Si,Con otras personas,11,Si
17,12,Femenino,2015,Santa Fe,Nuclear,Tios,5,Profesional,Secundaria,9,Si,Si,No,Si,Si,Si,No,Si,No,No,Si,Impulsivo,No,Solo,8,Si
13,12,Masculino,2022,Barrios Unidos,Nuclear,Hermanos,6,Independiente,Primaria,7,Si,Si,No,Si,Si,Si,No,No,Si,No,No,Impulsivo,Si,Solo,10,Si
15,11,Femenino,2024,Bosa,Extendida,Padres,5,Profesional,Primaria,8,No,Si,Si,Si,No,Si,Si,Si,No,Si,Si,Premeditado,Si,Solo,13,Si
13,11,Masculino,2015,Puente Aranda,Extendida,Abuelos,3,Desempleado,Universitario,4,Si,No,No,No,No,No,No,No,Si,No,Si,Premeditado,Si,Con otras personas,11,No
13,11,Femenino,2019,Usaquen,Extendida,Padres,6,Desempleado,Primaria,4,No,Si,Si,Si,No,No,No,No,No,Si,Si,Impulsivo,Si,Solo,8,Si
15,13,Masculino,2015,Usme,Nuclear,Padres,7,Profesional,Universitario,9,Si,No,Si,No,Si,No,No,Si,Si,No,Si,Impulsivo,No,Con otras personas,6,Si
15,11,Femenino,2023,La Candelaria,Extendida,Abuelos,2,Obrero,Universitario,4,Si,No,No,No,No,No,Si,No,No,No,No,Impulsivo,No,Con otras personas,9,No
14,9,Masculino,2021,Sumapaz,Extendida,Padres,2,Obrero,Secundaria,1,Si,No,Si,No,No,No,No,Si,Si,Si,Si,Impulsivo,No,Solo,10,No
15,8,Masculino,2023,Sumapaz,Monoparental,Padres,5,Empleado,Tecnico,9,Si,No,No,Si,Si,No,No,No,Si,Si,No,Impulsivo,Si,Con otras personas,13,Si
15,13,Femenino,2022,Los Martires,Extendida,Abuelos,2,Profesional,Primaria,2,Si,Si,Si,Si,Si,Si,No,No,No,No,Si,Premeditado,Si,Con otras personas,13,Si
13,8,Masculino,2023,Barrios Unidos,Nuclear,Tios,6,Empleado,Universitario,4,No,No,No,Si,No,No,Si,No,No,No,Si,Impulsivo,No,Solo,11,Si
16,11,Femenino,2023,Santa Fe,Nuclear,Abuelos,7,Ambulante,Tecnico,6,Si,No,No,Si,Si,No,No,No,Si,Si,Si,Impulsivo,Si,Solo,14,Si
14,12,Femenino,2017,Barrios Unidos,Nuclear,Abuelos,3,Obrero,Secundaria,2,Si,No,No,No,Si,No,Si,No,Si,Si,Si,Impulsivo,Si,Solo,11,No
16,11,Masculino,2022,Kennedy,Monoparental,Tios,6,Obrero,Primaria,1,Si,Si,Si,No,Si,Si,No,Si,Si,Si,No,Impulsivo,Si,Con otras personas,6,Si
17,12,Masculino,2017,San Cristobal,Extendida,Abuelos,7,Profesional,Universitario,6,No,Si,Si,No,Si,Si,No,Si,No,No,Si,Premeditado,Si,Solo,10,Si
15,9,Masculino,2020,Barrios Unidos,Nuclear,Otros familiares,7,Profesional,Secundaria,5,No,No,Si,Si,No,No,Si,Si,No,No,No,Impulsivo,Si,Solo,14,No
16,8,Masculino,2017,Sumapaz,Nuclear,Otros familiares,7,Empleado,Secundaria,1,No,No,Si,Si,Si,Si,Si,No,No,Si,No,Impulsivo,Si,Solo,10,No
15,12,Femenino,2023,Engativa,Monoparental,Hermanos,6,Ambulante,Universitario,4,No,No,Si,No,Si,Si,Si,No,No,No,Si,Premeditado,Si,Con otras personas,13,No
15,9,Femenino,2016,Antonio Narino,Monoparental,Otros familiares,7,Desempleado,Universitario,2,No,No,Si,No,No,No,Si,No,No,No,Si,Premeditado,Si,Solo,13,Si
17,11,Femenino,2024,Engativa,Nuclear,Hermanos,2,Obrero,Secundaria,6,Si,No,Si,Si,No,Si,No,No,No,No,No,Premeditado,No,Solo,8,Si
15,13,Masculino,2018,Ciudad Bolivar,Extendida,Hermanos,2,Agricultor,Tecnico,6,No,No,No,Si,Si,Si,No,Si,Si,No,No,Premeditado,No,Con otras personas,8,No
17,13,Femenino,2017,San Cristobal,Monoparental,Padres,4,Empleado,Secundaria,8,No,No,Si,Si,Si,Si,Si,No,Si,No,Si,Impulsivo,No,Solo,8,Si
16,8,Femenino,2015,Engativa,Nuclear,Abuelos,5,Obrero,Tecnico,8,Si,Si,Si,Si,No,Si,Si,No,No,No,No,Premeditado,Si,Solo,12,No
13,11,Femenino,2021,Suba,Nuclear,Tios,6,Agricultor,Primaria,3,No,No,No,Si,Si,No,No,No,Si,Si,Si,Impulsivo,Si,Solo,6,Si
15,7,Masculino,2023,La Candelaria,Monoparental,Tios,5,Desempleado,Secundaria,2,Si,No,Si,Si,Si,Si,No,No,No,No,No,Premeditado,Si,Con otras personas,10,Si
13,7,Femenino,2018,Rafael Uribe Uribe,Extendida,Abuelos,3,Desempleado,Primaria,6,Si,Si,No,No,No,Si,Si,Si,No,No,No,Premeditado,Si,Con otras personas,13,No
16,7,Masculino,2021,Suba,Extendida,Abuelos,4,Empleado,Primaria,3,No,Si,Si,No,Si,Si,No,No,No,Si,No,Premeditado,Si,Con otras personas,10,No
15,13,Femenino,2023,Suba,Monoparental,Otros familiares,7,Agricultor,Secundaria,9,Si,No,No,No,No,No,No,Si,No,No,No,Premeditado,Si,Con otras personas,10,Si
15,7,Masculino,2016,Barrios Unidos,Monoparental,Padres,4,Agricultor,Universitario,5,No,Si,Si,Si,Si,Si,Si,Si,No,No,Si,Impulsivo,Si,Con otras personas,13,Si
15,10,Masculino,2021,Puente Aranda,Extendida,Abuelos,3,Obrero,Primaria,7,No,No,Si,No,No,Si,No,No,No,No,No,Impulsivo,No,Solo,9,No
14,13,Masculino,2024,San Cristobal,Monoparental,Abuelos,3,Independiente,Primaria,8,No,Si,Si,No,No,No,Si,Si,No,Si,Si,Premeditado,Si,Con otras personas,8,No
15,8,Masculino,2017,Chapinero,Extendida,Otros familiares,1,Independiente,Tecnico,5,Si,No,Si,No,No,Si,No,Si,No,Si,Si,Impulsivo,Si,Con otras personas,10,No
15,9,Masculino,2019,Teusaquillo,Nuclear,Tios,4,Agricultor,Universitario,7,No,Si,Si,Si,Si,No,No,Si,No,Si,Si,Impulsivo,No,Solo,13,Si
17,11,Masculino,2023,Sumapaz,Extendida,Hermanos,7,Ambulante,Primaria,7,No,Si,Si,No,Si,Si,Si,Si,No,Si,No,Premeditado,No,Solo,14,No
13,11,Masculino,2021,Rafael Uribe Uribe,Monoparental,Abuelos,7,Desempleado,Secundaria,4,Si,Si,No,Si,Si,Si,Si,No,No,No,Si,Impulsivo,No,Con otras personas,9,No
15,11,Masculino,2018,San Cristobal,Monoparental,Otros familiares,3,Independiente,Tecnico,2,Si,Si,Si,Si,Si,No,Si,Si,No,Si,Si,Premeditado,No,Con otras personas,11,No
17,10,Masculino,2015,Fontibon,Extendida,Tios,7,Independiente,Primaria,9,No,No,Si,No,Si,Si,Si,Si,No,No,Si,Impulsivo,No,Solo,12,No
15,13,Masculino,2024,Teusaquillo,Nuclear,Tios,3,Independiente,Tecnico,7,No,No,Si,No,No,Si,Si,No,No,Si,No,Impulsivo,No,Con otras personas,9,Si
13,8,Femenino,2018,Teusaquillo,Extendida,Tios,1,Agricultor,Primaria,9,Si,No,Si,No,Si,No,No,No,No,No,Si,Impulsivo,Si,Solo,14,No
16,9,Masculino,2019,La Candelaria,Monoparental,Abuelos,2,Profesional,Secundaria,1,Si,No,Si,Si,No,Si,No,Si,Si,Si,Si,Premeditado,Si,Con otras personas,13,No
16,8,Masculino,2015,Suba,Nuclear,Abuelos,2,Agricultor,Universitario,4,Si,No,No,Si,Si,No,No,Si,No,No,No,Impulsivo,Si,Con otras personas,12,No
13,8,Masculino,2019,Santa Fe,Nuclear,Abuelos,6,Empleado,Secundaria,2,No,No,No,No,No,No,No,No,No,No,No,Premeditado,No,Con otras personas,7,Si
17,8,Femenino,2023,Santa Fe,Monoparental,Abuelos,2,Obrero,Secundaria,2,No,Si,Si,Si,Si,Si,No,No,No,No,No,Premeditado,Si,Con otras personas,13,Si
15,11,Masculino,2022,Engativa,Extendida,Padres,4,Independiente,Primaria,5,Si,No,Si,Si,Si,Si,Si,No,No,No,Si,Premeditado,No,Solo,6,No
13,12,Masculino,2022,Barrios Unidos,Monoparental,Tios,6,Profesional,Universitario,4,Si,Si,No,Si,No,No,Si,No,No,Si,No,Impulsivo,No,Solo,14,Si
14,13,Masculino,2018,Santa Fe,Monoparental,Abuelos,2,Profesional,Secundaria,8,No,Si,No,Si,Si,Si,Si,Si,Si,No,Si,Premeditado,Si,Solo,10,No
15,10,Femenino,2023,Barrios Unidos,Extendida,Otros familiares,3,Obrero,Primaria,2,No,No,Si,No,No,No,No,No,Si,Si,Si,Impulsivo,Si,Con otras personas,6,No
16,7,Femenino,2020,Ciudad Bolivar,Monoparental,Tios,3,Ambulante,Tecnico,2,No,No,No,Si,No,Si,No,No,Si,Si,No,Impulsivo,No,Con otras personas,8,Si
16,10,Masculino,2021,Sumapaz,Monoparental,Otros familiares,7,Independiente,Universitario,6,Si,No,Si,No,Si,Si,Si,Si,Si,No,Si,Impulsivo,Si,Con otras personas,11,No
16,11,Masculino,2023,Los Martires,Nuclear,Abuelos,3,Ambulante,Secundaria,6,No,No,Si,No,Si,Si,Si,No,No,Si,No,Premeditado,No,Solo,14,Si
16,9,Femenino,2018,Teusaquillo,Monoparental,Padres,7,Obrero,Primaria,5,No,Si,No,No,Si,No,Si,Si,Si,Si,No,Impulsivo,No,Solo,9,Si
13,12,Masculino,2018,Bosa,Monoparental,Tios,6,Obrero,Universitario,2,No,Si,Si,No,No,No,Si,Si,No,Si,No,Impulsivo,No,Con otras personas,9,No
13,7,Femenino,2021,Usme,Nuclear,Otros familiares,3,Independiente,Primaria,5,Si,No,Si,No,Si,Si,No,No,No,Si,Si,Premeditado,No,Con otras personas,11,No
14,9,Masculino,2020,Usaquen,Extendida,Otros familiares,5,Desempleado,Tecnico,5,No,No,Si,No,No,Si,Si,Si,No,Si,Si,Premeditado,Si,Solo,6,Si
13,9,Femenino,2015,Tunjuelito,Nuclear,Padres,7,Ambulante,Tecnico,3,Si,Si,Si,Si,No,No,No,Si,Si,No,No,Impulsivo,Si,Solo,7,No
14,12,Masculino,2019,Antonio Narino,Nuclear,Otros familiares,5,Profesional,Universitario,6,Si,No,Si,No,No,No,No,No,Si,No,Si,Premeditado,No,Con otras personas,11,Si
15,11,Masculino,2022,Los Martires,Nuclear,Abuelos,2,Profesional,Tecnico,7,Si,No,Si,Si,Si,No,No,No,Si,Si,No,Premeditado,No,Con otras personas,6,Si
13,11,Femenino,2020,Los Martires,Extendida,Tios,2,Ambulante,Primaria,1,No,No,Si,No,Si,Si,No,No,No,Si,Si,Premeditado,Si,Con otras personas,14,No
13,10,Femenino,2021,Sumapaz,Extendida,Otros familiares,3,Agricultor,Primaria,8,No,No,Si,No,Si,No,Si,Si,No,No,No,Impulsivo,Si,Solo,7,No
14,11,Masculino,2017,Tunjuelito,Monoparental,Otros familiares,2,Ambulante,Secundaria,7,Si,Si,Si,Si,Si,No,Si,Si,No,No,No,Premeditado,No,Con otras personas,14,No
15,10,Masculino,2024,Rafael Uribe Uribe,Nuclear,Otros familiares,4,Desempleado,Universitario,7,Si,No,No,No,No,No,Si,No,No,Si,No,Premeditado,No,Con otras personas,8,Si
16,10,Femenino,2019,Puente Aranda,Nuclear,Otros familiares,2,Obrero,Primaria,5,No,Si,Si,No,Si,Si,Si,No,Si,No,Si,Impulsivo,Si,Con otras personas,6,Si
15,11,Masculino,2022,Puente Aranda,Extendida,Padres,3,Desempleado,Primaria,9,Si,No,No,Si,Si,Si,Si,No,Si,No,No,Premeditado,Si,Con otras personas,7,Si
15,11,Masculino,2022,Teusaquillo,Extendida,Otros familiares,2,Obrero,Primaria,5,Si,No,Si,No,Si,Si,No,No,No,Si,Si,Impulsivo,No,Con otras personas,8,No
14,13,Femenino,2019,Ciudad Bolivar,Monoparental,Padres,5,Obrero,Secundaria,3,Si,No,Si,No,Si,No,Si,No,Si,No,No,Premeditado,Si,Con otras personas,9,No
15,11,Femenino,2021,Antonio Narino,Monoparental,Otros familiares,2,Independiente,Primaria,9,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,Premeditado,No,Solo,6,Si
17,10,Masculino,2022,Chapinero,Extendida,Abuelos,1,Agricultor,Universitario,7,No,No,Si,Si,No,No,Si,No,Si,No,Si,Impulsivo,Si,Con otras personas,12,Si
13,7,Femenino,2023,Engativa,Monoparental,Otros familiares,5,Obrero,Secundaria,5,Si,No,No,No,No,No,Si,No,No,Si,No,Premeditado,Si,Solo,12,Si
15,10,Masculino,2022,Teusaquillo,Extendida,Padres,2,Obrero,Tecnico,1,No,Si,Si,No,Si,Si,No,No,No,No,Si,Premeditado,No,Con otras personas,9,No
17,7,Femenino,2017,Teusaquillo,Monoparental,Hermanos,6,Obrero,Secundaria,4,No,Si,No,Si,Si,Si,Si,Si,Si,No,No,Premeditado,No,Con otras personas,8,Si
16,11,Femenino,2023,Chapinero,Extendida,Tios,7,Agricultor,Primaria,7,Si,No,No,Si,Si,No,No,No,No,Si,Si,Impulsivo,Si,Con otras personas,9,Si
14,9,Masculino,2020,Kennedy,Monoparental,Padres,5,Profesional,Tecnico,7,No,No,No,No,No,Si,No,No,Si,Si,No,Impulsivo,No,Con otras personas,10,Si
16,7,Femenino,2023,Suba,Extendida,Abuelos,1,Ambulante,Primaria,1,No,No,Si,Si,No,Si,Si,No,Si,No,Si,Premeditado,Si,Con otras personas,12,No
16,8,Masculino,2016,Puente Aranda,Nuclear,Otros familiares,1,Desempleado,Tecnico,9,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Impulsivo,No,Solo,10,No
17,12,Masculino,2024,Bosa,Extendida,Otros familiares,2,Obrero,Primaria,3,No,Si,Si,No,No,No,Si,Si,No,No,Si,Premeditado,Si,Solo,13,Si
13,7,Femenino,2021,Kennedy,Monoparental,Hermanos,6,Profesional,Universitario,9,Si,Si,No,No,No,No,Si,Si,No,Si,Si,Impulsivo,Si,Solo,14,Si
14,13,Masculino,2017,Antonio Narino,Monoparental,Abuelos,2,Agricultor,Universitario,2,No,Si,No,No,Si,No,Si,Si,Si,Si,No,Impulsivo,No,Con otras personas,9,No
16,10,Masculino,2024,Usme,Nuclear,Padres,5,Desempleado,Universitario,6,No,No,No,No,Si,Si,No,Si,Si,No,No,Impulsivo,No,Solo,11,Si
15,8,Masculino,2015,Suba,Monoparental,Abuelos,6,Independiente,Secundaria,9,No,No,Si,Si,No,Si,Si,Si,Si,No,Si,Premeditado,No,Solo,7,No
13,11,Masculino,2021,Ciudad Bolivar,Extendida,Abuelos,4,Ambulante,Universitario,3,No,No,Si,Si,No,Si,No,No,No,No,No,Impulsivo,Si,Solo,6,No
13,8,Masculino,2017,Suba,Monoparental,Tios,1,Independiente,Tecnico,3,No,Si,Si,No,Si,Si,No,Si,Si,No,Si,Impulsivo,No,Solo,10,Si
15,12,Femenino,2019,Usaquen,Monoparental,Hermanos,3,Ambulante,Universitario,7,No,No,No,No,Si,Si,Si,Si,No,No,Si,Impulsivo,Si,Con otras personas,6,Si
16,11,Femenino,2022,Suba,Monoparental,Hermanos,7,Obrero,Universitario,7,No,No,Si,Si,No,No,Si,Si,Si,No,No,Impulsivo,Si,Con otras personas,8,Si
17,10,Femenino,2023,Tunjuelito,Nuclear,Padres,4,Empleado,Universitario,6,Si,Si,Si,No,Si,Si,No,Si,Si,No,No,Impulsivo,No,Con otras personas,12,No
15,11,Masculino,2022,Fontibon,Nuclear,Padres,4,Profesional,Secundaria,4,Si,No,No,Si,Si,Si,No,Si,Si,No,No,Premeditado,No,Con otras personas,13,Si
16,9,Femenino,2022,Barrios Unidos,Monoparental,Abuelos,6,Obrero,Universitario,2,No,No,No,Si,No,Si,No,No,Si,No,Si,Impulsivo,Si,Solo,14,No
15,8,Masculino,2016,Chapinero,Extendida,Hermanos,1,Ambulante,Universitario,2,No,No,No,Si,No,Si,Si,No,No,Si,Si,Impulsivo,Si,Con otras personas,9,Si
15,9,Femenino,2019,Usaquen,Nuclear,Tios,2,Desempleado,Secundaria,3,No,Si,No,No,Si,No,No,No,Si,No,Si,Impulsivo,Si,Solo,8,Si
16,10,Femenino,2020,Ciudad Bolivar,Nuclear,Otros familiares,6,Obrero,Tecnico,5,Si,No,Si,No,No,Si,No,No,Si,No,No,Premeditado,No,Con otras personas,10,No
15,7,Femenino,2017,Fontibon,Extendida,Padres,7,Obrero,Universitario,3,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Impulsivo,No,Con otras personas,8,No
13,13,Femenino,2019,Fontibon,Extendida,Hermanos,5,Ambulante,Universitario,3,No,Si,Si,Si,No,Si,Si,No,Si,Si,Si,Impulsivo,No,Solo,9,No
15,13,Masculino,2024,Rafael Uribe Uribe,Monoparental,Hermanos,4,Ambulante,Universitario,2,Si,No,Si,Si,Si,No,No,No,Si,No,No,Premeditado,No,Con otras personas,8,Si
13,8,Femenino,2022,Usaquen,Extendida,Otros familiares,3,Ambulante,Tecnico,4,No,No,Si,Si,No,No,Si,No,No,Si,Si,Impulsivo,Si,Con otras personas,11,Si
14,10,Femenino,2018,Bosa,Extendida,Abuelos,7,Independiente,Primaria,7,Si,Si,No,No,Si,Si,Si,No,Si,No,Si,Premeditado,Si,Solo,13,Si
13,13,Masculino,2019,La Candelaria,Extendida,Padres,4,Obrero,Secundaria,1,No,Si,No,Si,Si,No,Si,No,Si,No,Si,Premeditado,No,Solo,6,No
13,12,Femenino,2017,Engativa,Nuclear,Padres,7,Agricultor,Primaria,4,Si,Si,No,Si,Si,No,Si,Si,Si,No,No,Impulsivo,Si,Con otras personas,14,No
17,12,Masculino,2024,Usme,Nuclear,Hermanos,3,Empleado,Secundaria,2,Si,No,No,Si,No,No,No,No,No,No,No,Impulsivo,No,Solo,12,Si
14,7,Femenino,2021,Antonio Narino,Monoparental,Tios,6,Profesional,Secundaria,1,No,Si,No,Si,No,No,No,No,Si,Si,No,Premeditado,Si,Solo,12,Si
16,7,Femenino,2018,Los Martires,Monoparental,Padres,4,Ambulante,Secundaria,8,Si,No,No,No,Si,No,Si,No,Si,Si,Si,Impulsivo,No,Solo,11,Si
14,13,Femenino,2022,Usaquen,Extendida,Tios,1,Independiente,Secundaria,1,No,No,No,Si,Si,No,No,No,No,No,No,Premeditado,Si,Con otras personas,11,Si
